program,Author(s),Author(s) Full Name,Year,Title,Place of Publication,Call No.,Book ID (Accession No.),Description,ISBN,Images
Multimedia Arts,"Dundjerovic, A. S.",Aleksandar Sasha Dundjerović,2023.0,Live digital theatre :         interdisciplinary performative pedagogies.,"Oxon, OX : 	Routledge.",792.0233 D914l 2023,T45188,"Explores the experiences of interdisciplinary performing arts practitioners working on digital performances and in particular live digital theatre.
",978-1-03223131-0,https://dlm.dlsl.edu.ph/passthrough?image=10108/9781032231310.gif
Multimedia Arts,"Elkins, A. E.",Amy E. Elkins,2022.0,Crafting feminism from literary modernism         to the multimedia present.,"Oxford, OX : Oxford University 	Press.",820.9 E47 2022 ,T45200,"Develops a dynamic study of craft and art-making in modern and contemporary feminist writing. It also expands our sense of trans artistic modernists scholarship to encompass a process-oriented and medium-specific analysis of textile arts, digital design, collage, photography, painting, and sculpture in literary culture. This book interweaves queer research methods and interdisciplinary rigor with a series of surprising archival discoveries.
",978-0-19-285783-5,https://dlm.dlsl.edu.ph/passthrough?image=10108/9780192857835.gif
Multimedia Arts,"Gibson, S., Arisona, S., Leishman, D. & Tanaka, A. (Eds.). ","Steve Gibson, Stefan Arisona, Donna Leishman, Atau Tanaka",2023.0,"Live visuals : history, theory, practice. ","Oxon, OX 	: Routledge.",700.9 L785 2023 ,T45187,"Surveys the key histories, theories and practice of artists, musicians, filmmakers, designers, architects and technologies that have worked and continue to work with visual material in real time.
",978-1-03225268-1,https://dlm.dlsl.edu.ph/passthrough?image=10108/9781032252681.gif
Multimedia Arts,"Jaen, R. & Sadler, C. (Eds.).","Rafael Jaen, Christopher Sadler",2022.0,"Off headset : essays on         stage management work, life, and career. ",New York : 	Routledge.,792.0232 O32 2022 ,T45185,"Contains essays by a richly diverse group of stage management professionals and educators covering the challenges stage managers face of the job, in their lives, and in their careers.
",978-0-367-33752-0,https://dlm.dlsl.edu.ph/passthrough?image=10108/9780367337520.gif
Multimedia Arts,"Johnson, D. (Ed.).",Derek Johnson,2023.0,From networks to Netflix : a guide to         changing channels. Second edition. ,New York : Routledge. ,	302.2345 F931 2023 ,T45195,"Surveys the channels, platforms, and programming through which television distribution operates, with a diverse selection of contributors providing thorough explorations of global media industries in flux.
",978-0-367-56824-5,https://dlm.dlsl.edu.ph/passthrough?image=10108/9780367568245.gif
Multimedia Arts,"Lonsdale, M. D. S.",Maria dos Santos Lonsdale,2023.0,"Information visualisation : from         theory, to research, to practice...and back.",Los 	Angeles : 	Sage.,006.6 L862i 2023 ,T45094,"""In a world of information overload, this book will help you to cut through the noise and communicate information with clear, efficient, and engaging visualisations. Taking you on a journey through a full range of different types of visualisations including infographics and motion graphics, the book: Explains the underlying principles behind information visualisation, including the science of visual perception and cognition; Provides easy-to-digest guidelines that bring research and best practice together; Showcases a range of real-world applied examples, and outlines the do’s and don’ts of different approaches; Shows how to use research methods to design with and for your target audience. From an expert with years of experience researching, teaching, and doing information visualisation, learn how to make better and informed decisions around visualisation design that are appropriate for both your data and audience."" -- Publisher's Description.
",978-1-52972579-7,https://dlm.dlsl.edu.ph/passthrough?image=10108/9781529725797.gif
Multimedia Arts,"Smith, D. E.",David E. Smith,2022.0,Innovating the design process : a theatre         design journey. ,New York : Routledge. ,792.025 S645i 2022,T45192,"Explores the process of designing for theatre and details how each part of a designer's own process, no matter what their design specialization, can be innovated and adapter for a more confident journey and for better outcomes.","978-1-03212118-5
",https://dlm.dlsl.edu.ph/passthrough?image=10108/9781032121185.gif
Multimedia Arts,Steve A. (Ed.).,Steve Ahern ,2022.0,Making radio and podcasts : a practical         guide to working in today's radio and audio industries.         4th edition.,"Oxon, OX : Focal Press.",791.443 M235 2022	,"T45186
","Guides anyone who wants to learn how to make successful programmes in the digital era. It examines the key roles in audio and podcasting: announcing, presenting, research, copywriting, producing, marketing, and promotions. It also outlines what is involved in creating different types of programmes: news and current affairs, music, talkback, comedy and features, podcasts, as well as legal and regulatory constraints.
",978-1-03202072-3,https://dlm.dlsl.edu.ph/passthrough?image=10108/9781032020723.gif
Fiction,"Burton, L. ",LeVar Burton,2022.0,Aftermath.,New York : Grand Central 	Publishing.,FIC B974a 2022,T45328,"In 2012, the first African American president is assassinated by a white extremist - just four days after he is elected. The horrific tragedy leads to riots, financial collapse, and ultimately, a full-on civil war. In its aftermath, millions are left homeless as famine and disease spread throughout the country. But from Chicago, a mysterious voice cries out...To Leon Crane, a former NASA scientist now struggling to survive on the streets, the pleas he hears remind him of the wife he could not save - and offer him a chance at redemption. To Jacob Fire Cloud, a revered Lakota medicine man, the voice is a sign that the White Buffalo Woman has returned to unite all the races in peace and prosperity. And to little Amy Ladue, the cries are those of her mother, who disappeared during the devastating St. Louis earthquake - and who must still be alive. These three strangers will be drawn together to rescue someone they have never met, a woman who holds the key to a new future for humanity - one remarkably brimming with hope.
",978-1-53872373-9,https://dlm.dlsl.edu.ph/passthrough?image=10108/9781538723739.gif
Fiction,"Delaney, J. ","Delaney, Joseph",2013.0,Grimalkin the witch assassin. First Greenwillow paperback edition.,New York : Greenwillow 	Books. ,FIC D337g 2013 bk. 9 ,T45337,"Provides insights into the life of Grimalkin, one of the deadliest witches in the country, if not the world, whose uneasy truce with the Spook's apprentice, Tom, unites them against the ultimate evil of the Fiend.
",978-0-06-208208-4,https://dlm.dlsl.edu.ph/passthrough?image=10108/9780062082084.gif
Fiction,"Farmer, P. J. ",Philip Jose Farmer,2012.0,A feast unknown. First edition.,London : 	Titan Books. ,FIC F234f 2012 v. 9,T45336,"Lord Grandrith, the fabled jungle lord, is endowed with the gift of eternal life, but with his power comes a gruesome side effect - an abhorrent affliction shared by his nemesis, the formidable Doc Caliban, Legendary man of bronze. Engaged in an epic battle for immortality, the two titans have more in common than they could ever have imagined, but who are the dark manipulators of their destiny?.
","978-1-78116-289-7
",https://dlm.dlsl.edu.ph/passthrough?image=10108/9781781162897.gif
Fiction,"Feehan, C.",Christine Feehan,2014.0,Air bound. First edition.,New York : Jove.,FIC F295a 2014,T45320,"For as far back as she can remember, Airiana Ridell has always been aware of her extraordinary gift. She can intuit revealing and illuminating ""patterns"" in the air around her - whether in a spray of mist, in billowing clouds or in the dense swirls of an impenetrable fog. Her abilities led to her placement in a secret government training facility when she was a child, but everything changed after her mother was murdered. Airiana fled the program, but she couldn't outrun the desperate members of a shadowy cabal who want her, who need her, who will kill to get her. Kidnapped and held aboard a ship bound for dangerous seas, her only chance for rescue is Maxim Prakenskii. He has his reasons for helping her, but he isn't about to reveal them to Airiana. Not yet. Not as the two are drawn together as moth to flame. not when there are so many secrets yet untold that could shatter the quaint community of Sea Haven and all who reside there...
","978-0-515-15463-4
",https://dlm.dlsl.edu.ph/passthrough?image=10108/9780515154634.gif
Fiction,"Feehan, C.",Christine Feehan,2017.0,Dark carousel : a Carpathian novel. Jove         mass-market edition.,New York : Jove.,FIC F295d 2017 ,T45321,"The moment Charlotte Vintage walks into his club, Tariq Asenguard's blood is set on fire. The ancient Carpathian had given up hope of finding his lifemate, but now he will do anything to make Charlotte his own. What Tariq doesn't know is that Charlotte is using herself and her best friend as bait - to try to draw out the bloodthristy killers who have already murdered Charlotte's brother and mentor. Charlotte is familiar with Tariq. Not only is he one of the richest and most eligible bachelors in the city, but he's also a renowned collector of old carousel horses, which Charlotte restores. Their shared passion opens Charlotte up to trusting him with her life and with the desire she can no longer control. But it also makes her vulnerable to a centuries-old curse that will unite her and Tariq in a war against the enemies of humans and Carpathians alike...
","978-0-515-15612-6
",https://dlm.dlsl.edu.ph/passthrough?image=10108/9780515156126.gif
Fiction,"Feehan, C.",Christine Feehan,2007.0,Deadly game. Jove mass-market edition.,New 	York : Jove.,FIC F295d 2007,T45322,"It begins as a mission to protect a politician from an assassination threat. But the operation takes an unexpected turn when Mari, a mysterious beautiful Ghost Walker, is taken hostage. At the same time, Ken Norton, expert assassin and a Ghost Walker warrior, is on a mission of his own - one that reaches into Mari's past. No stranger to the ways of violent warfare, Mari must join forces with ken and trust his every move - each one more intimate than the last.",978-0-515-14261-7,https://dlm.dlsl.edu.ph/passthrough?image=10108/9780515142617.gif
Fiction,"Flint, E., Goodlett, P. & Huff, G.","Eric Flint , Paula Goodlett , Gorg Huff",2021.0,1637 : the coast of         chaos. ,"Riverdale, NY : Baen.",FIC F623n 2021,T45312,"The fight for the new world is on! In late 1636, the recently formed United States of Europe makes a private pact with the Netherlands. The USE agrees to create no settlements of its own along the coast north of Pamlico Sound (in what is today's North Carolina) and east of the Appalachian Mountains, and it will not contest the Netherlands control of Manhattan Island and the Hudson valley. In exchange, the Netherlands agrees to abolish slaver in its possessions and to assist the USE in suppressing the Atlantic slave trade. But following shortly thereafter, the long dormant French claims to the British territories they purchased in 1633 from the King of England become active, when new French king Gaston sends troops to invade that portion of North America known today as New England. The American Coast of Chaos is set for explosion that may change the future forever - and liberty and justice for all hang in the balance!.
",978-1-982192-56-3,https://dlm.dlsl.edu.ph/passthrough?image=10108/9781982192563.gif
Fiction,"Flint, E. & Waters, R. E.",Eric Flint and Robert E. Waters,2022.0,1637 : the Transylvanian         decision. ,"Riverdale, NY : Baen.",FIC F623n 2022 ,T45313,"The future of Eastern Europe lies in the past. Up-timer Morris Roth and his Grand Army of the sunrise stand at a crossroads. Military success against the Polish-Lithuanian magnates has all but guaranteed a continued push east into Ruthenian lands. There, Roth hopes to further his Anaconda Project so that tens of thousands of Jews are not slaughtered in what's to become knon as the Chmielnicki Pogrom of 1648. But the Prince of Transylvania is thrown into political, social, and religious turmoil as battle lines are drawn. Whatever happens and whoever wins the fight, one thing is certain: the history of Eastern Europe will change radically. In fact, it already has.","978-1-982193-02-7
",https://dlm.dlsl.edu.ph/passthrough?image=10108/9781982193027.gif
Fiction,"Flint, E., Carrico, D. & Wentworth, K. D."," Eric Flint, David Carrico",2016.0,The span of         empire. ,"Riverdale, NY : Baen.",FIC F623s,T45314,"Fighting genocide on a galactic scale. The Ekhat been terrorizing the galaxy for eons, and if the Jao and their human and Lleix partners are going to have a hope of defeating them, they're going to need some help. To that end, Preceptor Ronz, guardian of Earth and greatest living strategist of the Jao, has sent out an exploration fleet under the command of Caitlin Kralik. But after a long search, all the expedition has found are dead worlds. Do they continue to search down the galactic arm in which Earth and the Jao worlds lie, or do they make an astounding leap in another direction? Meanwhile, the Ekhat have a new generation of leaders growing into power who are even more implacable that those who have gone before them. The Ekhat have not forgotten the Jao, nor the damage they have done over the years to the Ekhat purpose. It's up to the Jao-Human-Lleix confederation and the new allies they make to survive the onslaught and turn the tables on the Ekhat.
",978-1-48148292-9,http://titlepeek.follettsoftware.com/tp/query?action=3&subnumber=8512691&isbn=9781481482929&appid=4
Education,"3G E-learning LLC, USA.",3G Elearning,2023.0,Curriculum design and lesson         planning.,New York : 3G E-Learning. ,375 T531c 2023,T44960,"Introduces readers to a range of theories and approaches to curriculum development, such as competency-based education and outcomes-based education. This book also focuses primarily upon the design and development of curriculum documents that students will develop skills related to instructional design such as the development of lesson plan for teaching and learning.
",,
Education,"3G E-learning LLC, USA.",3G Elearning,2023.0,Education systems around the         world.,New York : 3G E-Learning. ,370.9 T531e 2023,T44958,"Provides information with regards to different kind of approach to educational system around the world to achieve quality education through learning resources, technology, methodology and operation management.
",,
Education,"Ang-Manaig, K.",Karen Ang-Manaig,2023.0,A value-based education for this century         : new techniques and approaches.,Canada : Society 	Publishing.,FIL 370.11 A581v 2023,T44964,Explores the landscape of value-based education as well as the discussions that are placed in the context of communities that have set priorities for educators and the institutions that employ them.,"978-1-77469-464-0
",https://dlm.dlsl.edu.ph/passthrough?image=10108/9781774694640.gif
Education,"De Leon, E. B.",Elmer B. De Leon,2023.0,LET comprehensive reviewer : based on         2022 enhanced table of specifications (TOS) for the board         licensure examination for professional teachers (BLEPT) :         specialization : values education.,Quezon City : Lorimar 	Publishing Inc.,FIL 370.76 D346l 2023,T44977,"Prepares examinees for the licensure examination providing needed materials of different scope of values education competencies to engage themselves with.
",978-6-214-51031-3,https://dlm.dlsl.edu.ph/passthrough?image=10108/9786214510313.gif
Education,"Lalas, J. W. & Strikwerda, H. L. (Eds.)","Jose W. Lalas, Heidi Luv Strikwerda, Chris Forlin, Tyrone Howard",2021.0,"Minding the         marginalized students through inclusion, justice, and hope         : daring to transform educational inequities.",United 	Kingdom : Emerald Publishing.,379.26 M663 2021,T44370,"While the issue of advancing equity occupies the pages of many education journals across the world and pursuing it in schools and classrooms is a common instructional goal, there is an obvious absence of established school policies combined with pedagogies on how to achieve educational equity. Therefore, equity solution driven by inclusion, justice, and hope is needed to transform the current systemic educational inequities. To ensure and sustain the notion that all children have the opportunities they need to develop, succeed, and meet their potential, it is imperative that we move the discussion about the impact of education from celebrating the academic gain of a few, to the needs of the many marginalized students who are often discounted and dehumanized.
",978-1-83982-795-2,https://dlm.dlsl.edu.ph/passthrough?image=10108/9781839827952.gif
Education,"Ramirez, O. A.",Oscar Alberto Ramirez,2022.0,Handbook of education systems in Asia. ,Canada : Society Publishing. ,370.95 H236 2022,T44957,"Covers many achievements in the region and the difficulties that still exist in education as it explores various ways to respond to changes, revisiting the teaching framework to improve the quality, and establishing support networks for students and teachers.",978-1-77469-110-6,https://dlm.dlsl.edu.ph/passthrough?image=10108/9781774691106.gif
Education,"Robbins, S.",Samuel Robbins,2024.0,Theory of modern educational technology and         quality education.,"Wilmington, De U.S.A. : American 	Academic Publisher.",371.33 R636t 2024 ,T44963,"Introduces to the readers with the studying and expounding the modern educational technology theory and the university quality education in order to explore the paths and means to cultivate high-quality talents.
",,
Education,"Bacus, R. C., Alda, R. C., Dapat, L. C. & Dayagbil, F. T. ","Filomena T. Dayagbil, Lelani C. Dapat, Remedios C. Bacus, Rivika C. Alda",2021.0,The teaching and assessment of grammar. , Quezon City 	: Lorimar Publishing Inc.,FIL 425.071 B131t 2021,T44657,"Introduces you to the world of teaching and assessment of grammar. It will provide you with enough opportunities that will make you examine the application of the theories and principles in the teaching and assessment of grammar.
",,
Education,"Bacus, R. C., Terogo, I. J. R., Bustos, R. T. & Dapat, L. C.","Remedios C. Bacus, Ionell Jay R. Terogo, Roselyn T. Bustos, and Lelani C. Dapat",2022.0,The teaching and assessment of literature studies. ,Quezon City : Lorimar Publishing Inc.,FIL 428.0071 B131t 2022,T44654,Intends to assist would-be English teachers in their journey towards the achievement of outcomes related to the actual teaching and assessment of literature studies in the target language.,978-6-214-51028-3,https://dlm.dlsl.edu.ph/passthrough?image=10108/9786214510283.gif
General Interest,"Arenas, C. D. G.","Arenas, Chester Dave G",2021.0,Professional development and applied ethics.,Manila 	: EDRIC Publishing House.,FIL 174.4 A681p 2021,T44412,"Tackles the different stages of a person's development process leading to his or her character and personal development to become an effective and efficient individual.
",978-6-218-17913-4,https://library.cvsu-rosario.edu.ph/cgi-bin/koha/opac-image.pl?imagenumber=418
General Interest,"Moreira, O. (Ed.).",Olga Moreira,2023.0,Advanced techniques for collecting         statistical data. ,Canada : Arcler Press. ,519.501 A245 2023,T44783,"Includes new methodologies based on automatic data collection and analysis systems based on smartphones technology and artificial intelligence, as well as their application in clinical research, sociology, stock market prediction and other fields.","978-1-77469-497-8
",https://m.media-amazon.com/images/I/71IG5s-iwyL._SL1500_.jpg
General Interest,"Coronel, S. S. (Ed.)",Sheila Coronel,1998.0,Pork and other perks : corruption 	and governance in the Philippines.,Quezon City : Philippine 	Center for Investigative Journalism.,FIL 364.1323 P832 1998,T44336,"Exposes the many facets of corruption in the Philippines and pinpoints who is responsible. But this book goes beyond muckraking to examining the social structures and the institutions that breed graft. It also examines what can be done about it.
",9-71868618-5,https://archive.org/services/img/isbn_9789718686188/full/pct:200/0/default.jpg
General Interest,"Delos Santos, D. L. S. & Ng, L. T.","Delos Santos, Danilo Lorenzo S",2021.0,Good governance and         social responsibility. First edition.,Manila : Rex Book Store,FIL 174.4 D362g 2021,T44755,"Introduces students to corporate social responsibility (CRS) and corporate governance (CG), with theoretical and practical perspectives. Students are made aware of the implications of the effects of business corporation on different stakeholders and the environment, and how these two concepts to organizational success and aid in ensuring long-term business sustainability.
",78-6-210-42480-5,https://www.rexestore.com/3506-large_default/good-governance-and-social-responsibility-2021-edition.jpg
General Interest,Pope Francis,Pope Francis,2014.0,The church of mercy : a vision for the         church. ,Chicago : Loyola Press.,252.02 P825c 2014,T44311,"A magnificent book, bursting with profound spiritual insights, from a man who has quickly become one of the greatest spiritual teachers of our time."" --James Martin, SJ, author of Jesus: A Pilgrimage.",978-0-8294-4170-3,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSwgteDMohpGoJH5HR05ruMe-JGrD3W4LY8--JZtgVSPj1VvIrX
General Interest,"Ramos, F. V.",Fidel V. Ramos,2015.0,Rising to the challenges of leadership.,"Makati, Philippines : Ramos Peace and Development 	Foundation, Inc, 2015.",FIL 320.9599 R175r 2015,T44316,"Shows collection of essays, speeches, and anecdotes of Fidel V. Ramos, former President of the Republic of the Philippines.
",978-9-71953525-6,https://imgur.com/a/JepawbZ
General Interest,"Te, D. M., Sabanal, D. V., Castro, J. A. & Lelis, C. P.","Danilo M. Te, Divina V. Sabanal, Jovelyn A. Castro, Christopher P. Lelis",2019.0,Business research with statistical applications : textbook 	and guidebook for doing and writing research. First 	edition.,"Manila : Rex Book Store, 2019.",FIL 650.0151954 T253b 2019,"T44846 T44847 T44848 	T44849 T44850
","Centers on knowing business research, writing business research and applying the statistical tools for the business research.
",978-6-210-40092-2,https://library.cvsu-rosario.edu.ph/cgi-bin/koha/opac-image.pl?imagenumber=693
General Interest,"Aquino, C. C.",Corazon C. Aquino.,2002.0,Inspiration and images : selected speeches         and paintings. ,Makati City : Benigno S. Aquino Jr.         Foundation.,FIL 808.85 A657i 2002,T44332,"Presents selected speeches and painting of the late president Corazon C. Aquino.
",9-71913765-7,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1698003598i/149192156.jpg
General Interest,"Bantug, A. L.",Asuncion Lopez Bantug.,2008.0,Lolo Jose : an intimate and illustrated 	portrait of Jose Rizal.,"Intramuros, Manila 	: Vibal Foundation, Inc.",FIL 959.9 B219l 2008,T44322,"Traces the life story of Jose Rizal as culled from family lore and personal anecdotes. Written by Rizal's grandniece, this biography features the most comprehensive photo album of Rizal, along with the complete bibliography of his visual, literary and political works.
",978-9-71939852-3,https://yuchengcomuseum.org/wp-content/uploads/2017/08/instagrid_202061222750176-1-1024x1024-optimized.jpg
Special Collection,"Blanco, F. M. ",Francisco Manuel Blanco,2017.0,Flora de Filipinas. 5th edition.,Quezon 	City : Vibal Foundation.,SP 581.09599 B641f 2017 ,T44128,Contains information obtained from classic botanical texts and other documented sources. The information in this book is provided purely for education and not as a substitute to any established medical or scientific treatment.,978-9-71970701-1,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1539537475i/42302557.jpg
Graduate School,"Warne, D. P.",Dharam Paul Warne ,2023.0,"
Warne, D. P. (2023). Business marketing management in a 	business-to-business context.","Burlington, ON : Society 	Publishing.",GS 658.85 W278b 2023,GS670,"Aims to provide a clear, timely, and engaging examination of corporate marketing management. This volume explores some of the most important factors in B2B relationship marketing and their importance to corporate marketing management.
",978-1-77469-423-7,https://imgur.com/a/QA4cbo7
Graduate School,"Chavez, A. C. ",Aimee Concepcion Chavez.,2023.0,The principles of curriculum development. ,Canada : Society Publishing. , GS 375.001 C512p 2023,GS666,"Aims to provide materials whose specialization or discipline includes a concern for education. More specifically, the book will be particularly relevant for those that are studying education and its related fields. Policy issues and implications that are discussed in this book may be relevant to anyone that is involved in the provision of social services or even social care. This book has been deliberately written in such a way as to appeal to educationists from all walks of life. Once the methodology and values of the curriculum are acquired, it becomes relatively easy to apply them to specific contexts and needs.
",978-1-77469-466-4,https://imgur.com/a/rdRlFgZ
Graduate School,"Jain, S.",Surbhi Jain.,2023.0,The role of human resource management in 	organizational success. ,Canada : Society Publishing. ,GS 658.3 J25r 2023,GS667,"Aims to those who are generally interested in working people and their experiences in the workplace. This book is useful for undergraduates in a range of management courses. The author tries to locate human resource management within the framework of organizational efficiency while at the same time opening up the department for further scrutiny and appreciation based on its response to the external business environment.
",978-1-77469-422-0,https://imgur.com/a/LNyhVz2
Graduate School,"Khandelwal, Risha.",Risha Khandelwal.,2024.0,Business environment.,Canada : 	Toronto Academic Press.,GS 650 K45b 2024,GS663,"Introduces the readers to the basic concepts of the business environment. It sheds light on the natural and technological environment, business and society, business ethics, the foundation of the legal environment of business, labor legislation, the global environment, and industrial and economic development.
",978-1-77469-737-5,https://imgur.com/a/Z2Y31xE
Graduate School,"Kuzmiakova, A.", Adele Kuzmiakova.,2023.0,The creation and management of 	database systems. ,Canada : Arcler Press,GS 005.74 C912 2023,GS669,"Provides an overview of the many different aspects of database systems which the content is presented in such a way that even an untrained reader should have no trouble understanding the fundamental ideas behind DBMSs if they read this text.
",978-1-77469-442-8,https://imgur.com/a/3puwfYF
Graduate School,"Policarpio, J. E. A. ",John Ericson A. Policarpio.,2024.0,Management theory and practice.,Canada : Toronto Academic Press. ,GS 658 P766m 2024,GS662,"Provides a comprehensive overview of different aspects of management and their importance in organizations as it examines the historical development of each management school of thoughts, its significance, and its limitations on management practices.
",978-1-77469-729-0,https://imgur.com/a/qVMvIWE
Graduate School,"Sharma, A. ",Abhishek Sharma.,2024.0,Project management. ,Canada : Toronto Academic         Press.,GS 658.404 S531p 2024,GS665,"Provides broad understanding of project management as it aims to be a resource for academics starting with its fundamentals to central principles of project management.
",978-1-77469-756-6,https://imgur.com/a/54C4zVj
Graduate School,"Tiwari, R.",Richa Tiwari.,2023.0,Exploring data and business management : how 	information helps in supervision.,Canada : Society 	Publishing.,GS 658.4038 T623e 2023	,GS668,"Takes the readers through several aspects of data management and business management as it sheds light on the several characteristics of data and business management, such as data analysis, big data and business analytics, modern business intelligence (MBI), and data science.",978-1-77469-394-0,https://imgur.com/a/QlAs1NK
Graduate School,"Gorton, R. A. & Alston, J. A. ",Richard A. Gorton and Judy A. Alston.,2023.0,"School leadership & 	administration : important concepts, case studies, and 	simulations.","New York : McGraw Hill, 2023.",371.200973 G675s 2023,GS675,"Intends to prepare students for the kinds of situations and problems they will encounter in administrative positions to incorporate key professional standards and competencies (such as the development of skills in communication, group leadership, conflict management, and the like) with action-based research methods and theoretical undergirding to assist in decision-making.",978-1-26518451-3,https://imgur.com/a/XBvVWD3
